invoice_id,branch,city,gender,product_line,unit_price,quantity,tax_5_percents,total,month,day,year,hours,minutes,payment,cogs,gross_margin_percentage,gross_income,rating,customer_type
848-62-7243,0,2,1,3,24.89,9,11.2005,235.2105,3,15,2019,15,36,0,224.01,4.761904762,11.2005,7.4,0
583-41-4548,2,1,1,4,16.67,7,5.8345,122.5245,2,7,2019,11,36,2,116.69,4.761904762,5.8345,7.4,0
800-09-8606,0,2,0,4,87.37,5,21.8425,458.6925,1,29,2019,19,45,0,436.85,4.761904762,21.8425,6.6,1
283-26-5248,2,1,0,2,98.52,10,49.26,1034.46,1,30,2019,20,23,2,985.2,4.761904762,49.26,4.5,1
288-62-1085,0,2,1,1,38.54,5,9.635,202.335,1,9,2019,13,34,2,192.7,4.761904762,9.635,5.6,1
152-68-2907,0,2,1,2,52.2,3,7.83,164.43,2,15,2019,13,30,1,156.6,4.761904762,7.83,9.5,0
505-02-0892,1,0,1,3,42.57,8,17.028,357.588,2,25,2019,14,12,2,340.56,4.761904762,17.028,5.6,1
777-67-2495,1,0,1,4,68.97,3,10.3455,217.2555,2,22,2019,11,26,2,206.91,4.761904762,10.3455,8.7,0
632-32-4574,1,0,1,5,75.92,8,30.368,637.7280000000002,3,20,2019,14,14,0,607.36,4.761904762,30.368,5.5,0
109-86-4363,1,0,0,5,60.08,7,21.028,441.588,2,14,2019,11,36,1,420.56,4.761904762,21.028,4.5,1
877-22-3308,0,2,1,3,15.87,10,7.935,166.635,3,13,2019,16,40,0,158.7,4.761904762,7.935,5.8,1
280-17-4359,2,1,1,3,90.5,10,45.25,950.25,1,25,2019,13,48,0,905.0,4.761904762,45.25,8.1,1
226-34-0034,1,0,0,0,13.78,4,2.756,57.87600000000001,1,10,2019,11,10,2,55.12,4.761904762,2.756,9.0,0
760-53-9233,0,2,1,1,41.28,3,6.192,130.032,3,26,2019,18,37,1,123.84,4.761904762,6.192,8.5,1
169-52-4504,0,2,0,0,15.69,3,2.3535,49.4235,3,14,2019,14,13,1,47.07,4.761904762,2.3535,5.8,0
634-97-8956,0,2,1,2,32.9,3,4.935,103.635,2,17,2019,17,27,1,98.7,4.761904762,4.935,9.1,0
714-02-3114,2,1,0,5,98.8,2,9.88,207.48,2,21,2019,11,39,0,197.6,4.761904762,9.88,7.7,0
785-13-7708,1,0,1,2,73.06,7,25.571,536.991,1,14,2019,19,6,1,511.42,4.761904762,25.571,4.2,0
851-98-3555,1,0,0,3,82.88,5,20.72,435.12,3,24,2019,14,8,1,414.4,4.761904762,20.72,6.6,0
760-27-5490,2,1,1,1,15.62,8,6.247999999999998,131.208,1,20,2019,20,37,2,124.96,4.761904762,6.247999999999998,9.1,0
411-77-0180,0,2,1,0,72.2,7,25.27,530.67,3,26,2019,20,14,2,505.4,4.761904762,25.27,4.3,1
238-45-6950,1,0,1,2,53.72,1,2.6860000000000004,56.40600000000001,3,1,2019,20,3,2,53.72,4.761904762,2.6860000000000004,6.4,1
883-69-1285,1,0,1,1,49.92,2,4.992,104.832,3,6,2019,11,55,1,99.84,4.761904762,4.992,7.0,1
574-22-5561,2,1,0,1,82.63,10,41.315,867.615,3,19,2019,17,8,2,826.3,4.761904762,41.315,7.9,1
781-84-8059,2,1,1,1,60.74,7,21.259,446.439,1,18,2019,16,23,2,425.18,4.761904762,21.259,5.0,0
631-41-3108,0,2,1,4,46.33,7,16.2155,340.5255,3,3,2019,13,23,1,324.31,4.761904762,16.2155,7.4,0
841-18-8232,1,0,0,2,71.2,1,3.56,74.76,1,5,2019,20,40,1,71.2,4.761904762,3.56,9.2,0
860-79-0874,2,1,0,1,99.3,10,49.65,1042.65,2,15,2019,14,53,1,993.0,4.761904762,49.65,6.6,1
545-07-8534,2,1,0,3,58.32,2,5.832000000000002,122.472,2,14,2019,12,42,2,116.64,4.761904762,5.832000000000002,6.0,0
339-12-4827,1,0,0,1,73.96,1,3.698,77.658,1,5,2019,11,32,1,73.96,4.761904762,3.698,5.0,1
150-89-8043,0,2,1,5,44.65,3,6.6975,140.6475,2,14,2019,15,4,0,133.95,4.761904762,6.6975,6.2,0
652-49-6720,2,1,0,0,60.95,1,3.0475,63.9975,2,18,2019,11,40,2,60.95,4.761904762,3.0475,5.9,1
246-11-3901,2,1,0,0,32.8,10,16.4,344.4,2,15,2019,12,12,0,328.0,4.761904762,16.4,6.2,0
339-96-8318,1,0,1,1,81.31,7,28.4585,597.6285,3,1,2019,19,49,2,569.17,4.761904762,28.4585,6.3,1
595-11-5460,0,2,1,3,96.58,2,9.658,202.818,3,15,2019,10,12,1,193.16,4.761904762,9.658,5.1,0
149-71-6266,1,0,1,5,78.07,9,35.1315,737.7615,1,28,2019,12,43,0,702.63,4.761904762,35.1315,4.5,1
545-46-3100,1,0,0,0,10.59,3,1.5885,33.3585,3,12,2019,13,52,1,31.77,4.761904762,1.5885,8.7,1
364-34-2972,2,1,1,0,96.82,3,14.523,304.983,3,30,2019,20,37,0,290.46,4.761904762,14.523,6.7,1
286-43-6208,2,1,0,2,87.8,9,39.51,829.71,3,16,2019,19,8,0,790.2,4.761904762,39.51,9.2,0
442-48-3607,0,2,1,2,23.48,2,2.3480000000000003,49.308,3,14,2019,11,21,1,46.96,4.761904762,2.3480000000000003,7.9,1
123-19-1176,0,2,1,3,58.22,8,23.288,489.048,1,27,2019,20,33,2,465.76,4.761904762,23.288,8.4,1
394-43-4238,1,0,1,4,17.77,5,4.4425,93.2925,2,15,2019,12,42,1,88.85,4.761904762,4.4425,5.4,1
503-07-0930,2,1,1,5,58.39,7,20.4365,429.1665,2,23,2019,19,49,1,408.73,4.761904762,20.4365,8.2,1
401-09-4232,2,1,1,4,86.69,5,21.6725,455.1225,2,11,2019,18,38,2,433.45,4.761904762,21.6725,9.4,1
286-01-5402,0,2,0,5,40.23,7,14.0805,295.6905,3,30,2019,13,22,0,281.61,4.761904762,14.0805,9.6,0
861-77-0145,2,1,1,0,81.97,10,40.985,860.685,3,3,2019,14,30,0,819.7,4.761904762,40.985,9.2,1
286-75-7818,1,0,1,1,69.08,2,6.908,145.06799999999996,1,31,2019,19,48,1,138.16,4.761904762,6.908,6.9,0
381-20-0914,0,2,0,1,20.01,9,9.0045,189.0945,1,12,2019,15,48,1,180.09,4.761904762,9.0045,5.7,1
360-39-5055,2,1,1,5,48.91,5,12.2275,256.7775,3,9,2019,10,17,0,244.55,4.761904762,12.2275,6.6,1
593-95-4461,2,1,1,4,74.86,1,3.743,78.60300000000002,3,24,2019,14,49,0,74.86,4.761904762,3.743,6.9,1
480-63-2856,2,1,1,2,19.25,8,7.7,161.7,1,23,2019,18,37,2,154.0,4.761904762,7.7,6.6,0
602-16-6955,1,0,0,5,76.6,10,38.3,804.3,1,24,2019,18,10,2,766.0,4.761904762,38.3,6.0,0
497-37-6538,0,2,1,5,58.91,7,20.6185,432.9885,1,17,2019,15,15,2,412.37,4.761904762,20.6185,9.7,0
811-35-1094,1,0,1,0,50.45,6,15.135,317.835,2,6,2019,15,16,1,302.7,4.761904762,15.135,8.9,1
793-10-3222,1,0,0,3,41.06,6,12.318,258.678,3,5,2019,13,30,1,246.36,4.761904762,12.318,8.3,1
563-91-7120,0,2,0,1,61.77,5,15.4425,324.2925,3,8,2019,13,21,0,308.85,4.761904762,15.4425,6.7,0
600-38-9738,2,1,1,5,71.92,5,17.98,377.58,1,17,2019,15,5,1,359.6,4.761904762,17.98,4.3,1
722-13-2115,2,1,1,5,42.85,1,2.1425,44.9925,3,14,2019,15,36,1,42.85,4.761904762,2.1425,9.3,1
838-02-1821,2,1,0,4,12.73,2,1.273,26.733,2,22,2019,12,10,1,25.46,4.761904762,1.273,5.2,1
699-14-3026,2,1,1,0,85.39,7,29.8865,627.6165,3,25,2019,18,30,2,597.73,4.761904762,29.8865,4.1,0
635-28-5728,0,2,1,3,56.0,3,8.4,176.4,2,28,2019,19,33,2,168.0,4.761904762,8.4,4.8,0
878-30-2331,2,1,0,5,54.55,10,27.275,572.775,3,2,2019,11,22,1,545.5,4.761904762,27.275,7.1,1
871-39-9221,2,1,0,0,12.45,6,3.735,78.435,2,9,2019,13,11,0,74.7,4.761904762,3.735,4.1,0
808-65-0703,2,1,1,4,35.47,4,7.0939999999999985,148.974,3,14,2019,17,22,1,141.88,4.761904762,7.0939999999999985,6.9,0
554-42-2417,2,1,0,5,95.44,10,47.72,1002.12,1,9,2019,13,45,0,954.4,4.761904762,47.72,5.2,0
631-34-1880,2,1,1,2,24.31,3,3.6465,76.5765,1,8,2019,19,9,1,72.93,4.761904762,3.6465,4.3,1
359-94-5395,1,0,1,3,92.78,1,4.6389999999999985,97.419,3,15,2019,10,50,1,92.78,4.761904762,4.6389999999999985,9.8,0
289-15-7034,0,2,1,5,82.33,4,16.465999999999998,345.786,1,11,2019,10,37,1,329.32,4.761904762,16.465999999999998,7.5,1
655-07-2265,0,2,1,0,78.31,3,11.7465,246.6765,3,5,2019,16,38,2,234.93,4.761904762,11.7465,5.4,0
462-78-5240,2,1,0,0,26.61,2,2.661,55.881,3,19,2019,14,35,0,53.22,4.761904762,2.661,4.2,0
686-41-0932,1,0,0,1,34.7,2,3.47,72.87,3,13,2019,19,48,2,69.4,4.761904762,3.47,8.2,0
642-32-2990,0,2,0,2,10.96,10,5.48,115.08,2,2,2019,20,48,2,109.6,4.761904762,5.48,6.0,0
377-79-7592,2,1,0,0,44.84,9,20.178,423.73800000000006,1,14,2019,14,0,1,403.56,4.761904762,20.178,7.5,1
845-51-0542,1,0,1,2,46.55,9,20.9475,439.8975,2,2,2019,15,34,2,418.95,4.761904762,20.9475,6.4,1
133-14-7229,2,1,1,3,62.87,2,6.287000000000001,132.02700000000002,1,1,2019,11,43,0,125.74,4.761904762,6.287000000000001,5.0,0
692-92-5582,1,0,0,2,54.84,3,8.226,172.74599999999995,2,20,2019,13,27,1,164.52,4.761904762,8.226,5.9,1
848-24-9445,2,1,1,3,43.7,2,4.37,91.77,3,26,2019,18,3,0,87.4,4.761904762,4.37,4.9,1
642-30-6693,1,0,0,5,54.51,6,16.352999999999998,343.413,3,17,2019,13,54,2,327.06,4.761904762,16.352999999999998,7.8,0
847-38-7188,1,0,0,2,96.68,3,14.502,304.5420000000001,1,26,2019,19,56,2,290.04,4.761904762,14.502,6.4,0
468-99-7231,2,1,0,4,44.01,8,17.604,369.684,3,3,2019,17,36,0,352.08,4.761904762,17.604,8.8,0
695-28-6250,0,2,0,5,43.06,5,10.765,226.065,2,4,2019,16,38,2,215.3,4.761904762,10.765,7.7,0
864-24-7918,0,2,0,5,24.49,10,12.245,257.145,2,22,2019,15,15,0,244.9,4.761904762,12.245,8.1,1
478-06-7835,0,2,1,1,89.69,1,4.4845,94.1745,1,11,2019,11,20,2,89.69,4.761904762,4.4845,4.9,0
139-20-0155,1,0,1,0,40.3,10,20.15,423.15,1,24,2019,17,37,1,403.0,4.761904762,20.15,7.0,1
677-11-0152,2,1,0,2,93.26,9,41.967,881.307,1,16,2019,18,8,0,839.34,4.761904762,41.967,8.8,0
482-17-1179,0,2,1,0,11.94,3,1.791,37.611,1,19,2019,12,47,1,35.82,4.761904762,1.791,8.1,1
