invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5_percents,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating
750-67-8428,0,2,1,0,3,74.69,7,26.1415,548.9715,1/5/2019,13:08,2,522.83,4.761904762,26.1415,9.1
226-31-3081,2,1,0,0,0,15.28,5,3.82,80.22,3/8/2019,10:29,0,76.4,4.761904762,3.82,9.6
631-41-3108,0,2,0,1,4,46.33,7,16.2155,340.5255,3/3/2019,13:23,1,324.31,4.761904762,16.2155,7.4
123-19-1176,0,2,1,1,3,58.22,8,23.288,489.048,1/27/2019,20:33,2,465.76,4.761904762,23.288,8.4
373-73-7910,0,2,0,1,5,86.31,7,30.2085,634.3785,2/8/2019,10:37,2,604.17,4.761904762,30.2085,5.3
699-14-3026,2,1,0,1,0,85.39,7,29.8865,627.6165,3/25/2019,18:30,2,597.73,4.761904762,29.8865,4.1
355-53-5943,0,2,1,0,0,68.84,6,20.652,433.692,2/25/2019,14:36,2,413.04,4.761904762,20.652,5.8
315-22-5665,2,1,0,0,4,73.56,10,36.78,772.38,2/24/2019,11:38,2,735.6,4.761904762,36.78,8.0
665-32-9167,0,2,1,0,3,36.26,2,3.626,76.146,1/10/2019,17:15,1,72.52,4.761904762,3.626,7.2
692-92-5582,1,0,1,0,2,54.84,3,8.226,172.74599999999995,2/20/2019,13:27,1,164.52,4.761904762,8.226,5.9
351-62-0822,1,0,1,0,1,14.48,4,2.8960000000000004,60.816,2/6/2019,18:07,2,57.92,4.761904762,2.8960000000000004,4.5
529-56-3974,1,0,1,1,0,25.51,4,5.102,107.142,3/9/2019,17:03,0,102.04,4.761904762,5.102,6.8
365-64-0515,0,2,0,0,0,46.95,5,11.7375,246.4875,2/12/2019,10:25,2,234.75,4.761904762,11.7375,7.1
252-56-2699,0,2,0,1,2,43.19,10,21.595,453.495,2/7/2019,16:48,2,431.9,4.761904762,21.595,8.2
829-34-3910,0,2,0,0,3,71.38,10,35.69,749.49,3/29/2019,19:21,0,713.8,4.761904762,35.69,5.7
299-46-1805,1,0,1,0,5,93.72,6,28.116,590.436,1/15/2019,16:19,0,562.32,4.761904762,28.116,4.5
656-95-9349,0,2,1,0,3,68.93,7,24.1255,506.6355,3/11/2019,11:03,1,482.51,4.761904762,24.1255,4.6
765-26-6951,0,2,0,1,5,72.61,6,21.783,457.443,1/1/2019,10:39,1,435.66,4.761904762,21.783,6.9
329-62-1586,0,2,0,1,2,54.67,3,8.2005,172.2105,1/21/2019,18:00,1,164.01,4.761904762,8.2005,8.6
319-50-3348,1,0,0,0,4,40.3,2,4.03,84.63,3/11/2019,15:30,2,80.6,4.761904762,4.03,4.4
300-71-4605,2,1,1,1,0,86.04,5,21.51,451.71,2/25/2019,11:24,2,430.2,4.761904762,21.51,4.8
371-85-5789,1,0,0,1,3,87.98,3,13.197,277.137,3/5/2019,10:40,2,263.94,4.761904762,13.197,5.1
273-16-6619,1,0,0,1,4,33.2,2,3.32,69.72,3/15/2019,12:20,1,66.4,4.761904762,3.32,4.4
636-48-8204,0,2,0,1,0,34.56,5,8.64,181.44,2/17/2019,11:15,2,172.8,4.761904762,8.64,9.9
549-59-1358,0,2,1,1,5,88.63,3,13.2945,279.1845,3/2/2019,17:36,2,265.89,4.761904762,13.2945,6.0
227-03-5010,0,2,1,0,4,52.59,8,21.036,441.756,3/22/2019,19:20,1,420.72,4.761904762,21.036,8.5
649-29-6775,1,0,0,1,1,33.52,1,1.676,35.196,2/8/2019,15:31,0,33.52,4.761904762,1.676,6.7
189-17-4241,0,2,0,0,1,87.67,2,8.767000000000001,184.107,3/10/2019,12:17,1,175.34,4.761904762,8.767000000000001,7.7
145-94-9061,1,0,0,0,2,88.36,5,22.09,463.89,1/25/2019,19:48,0,441.8,4.761904762,22.09,9.6
848-62-7243,0,2,0,1,3,24.89,9,11.2005,235.2105,3/15/2019,15:36,0,224.01,4.761904762,11.2005,7.4
871-79-8483,1,0,0,1,1,94.13,5,23.5325,494.1825,2/25/2019,19:39,1,470.65,4.761904762,23.5325,4.8
149-71-6266,1,0,1,1,5,78.07,9,35.1315,737.7615,1/28/2019,12:43,0,702.63,4.761904762,35.1315,4.5
640-49-2076,1,0,0,1,5,83.78,8,33.512,703.752,1/10/2019,14:49,0,670.24,4.761904762,33.512,5.1
595-11-5460,0,2,0,1,3,96.58,2,9.658,202.818,3/15/2019,10:12,1,193.16,4.761904762,9.658,5.1
183-56-6882,2,1,1,0,2,99.42,4,19.884,417.564,2/6/2019,10:42,2,397.68,4.761904762,19.884,7.5
232-16-2483,2,1,1,0,5,68.12,1,3.406,71.52600000000002,1/7/2019,12:28,2,68.12,4.761904762,3.406,6.8
129-29-8530,0,2,1,1,5,62.62,5,15.655,328.755,3/10/2019,19:15,2,313.1,4.761904762,15.655,7.0
272-65-1806,0,2,0,0,0,60.88,9,27.396,575.316,1/15/2019,17:17,2,547.92,4.761904762,27.396,4.7
333-73-7901,2,1,0,0,3,54.92,8,21.968000000000004,461.328,3/23/2019,13:24,2,439.36,4.761904762,21.968000000000004,7.6
777-82-7220,1,0,1,1,4,30.12,8,12.048,253.008,3/3/2019,13:01,0,240.96,4.761904762,12.048,7.7
280-35-5823,1,0,1,0,4,86.72,1,4.336,91.056,1/17/2019,18:45,2,86.72,4.761904762,4.336,7.9
554-53-8700,2,1,1,1,4,56.11,2,5.6110000000000015,117.831,2/2/2019,10:11,0,112.22,4.761904762,5.6110000000000015,6.3
354-25-5821,1,0,1,0,5,69.12,6,20.736,435.456,2/8/2019,13:03,0,414.72,4.761904762,20.736,5.6
228-96-1411,2,1,1,0,2,98.7,8,39.48,829.08,3/4/2019,20:39,0,789.6,4.761904762,39.48,7.6
617-15-4209,2,1,1,1,3,15.37,2,1.537,32.277,3/16/2019,19:47,0,30.74,4.761904762,1.537,7.2
132-32-9879,1,0,1,0,0,93.96,4,18.792,394.632,3/9/2019,18:00,0,375.84,4.761904762,18.792,9.5
370-41-7321,1,0,1,1,3,56.69,9,25.5105,535.7205,2/27/2019,17:24,1,510.21,4.761904762,25.5105,8.4
727-46-3608,1,0,1,0,2,20.01,9,9.0045,189.0945,2/6/2019,15:47,2,180.09,4.761904762,9.0045,4.1
669-54-1719,1,0,1,1,0,18.93,6,5.6789999999999985,119.259,2/10/2019,12:45,1,113.58,4.761904762,5.6789999999999985,8.1
574-22-5561,2,1,1,0,1,82.63,10,41.315,867.615,3/19/2019,17:08,2,826.3,4.761904762,41.315,7.9
326-78-5178,2,1,1,1,2,91.4,7,31.99,671.79,2/3/2019,10:19,0,639.8,4.761904762,31.99,9.5
162-48-8011,0,2,1,0,2,44.59,5,11.1475,234.0975,2/10/2019,15:10,0,222.95,4.761904762,11.1475,8.5
616-24-2851,1,0,1,0,1,17.87,4,3.574,75.054,3/22/2019,14:42,2,71.48,4.761904762,3.574,6.5
778-71-5554,2,1,1,1,1,15.43,1,0.7715,16.2015,1/25/2019,15:46,1,15.43,4.761904762,0.7715,6.1
242-55-6721,1,0,0,1,4,16.16,2,1.616,33.936,3/7/2019,11:49,2,32.32,4.761904762,1.616,6.5
399-46-5918,2,1,0,0,0,85.98,8,34.392,722.232,2/28/2019,19:01,0,687.84,4.761904762,34.392,8.2
106-35-6779,0,2,1,1,4,44.34,2,4.434,93.114,3/27/2019,11:26,0,88.68,4.761904762,4.434,5.8
635-40-6220,0,2,0,1,3,89.6,8,35.84,752.64,2/7/2019,11:28,2,716.8,4.761904762,35.84,6.6
817-48-8732,0,2,1,0,4,72.35,10,36.175,759.675,1/20/2019,15:55,0,723.5,4.761904762,36.175,5.4
120-06-4233,2,1,0,1,0,30.61,6,9.183,192.843,3/12/2019,20:36,0,183.66,4.761904762,9.183,9.3
285-68-5083,2,1,1,0,5,24.74,3,3.711,77.931,2/15/2019,17:47,1,74.22,4.761904762,3.711,10.0
803-83-5989,2,1,0,1,4,55.73,6,16.719,351.099,2/24/2019,10:55,2,334.38,4.761904762,16.719,7.0
347-34-2234,1,0,1,0,5,55.07,9,24.7815,520.4115,2/3/2019,13:40,2,495.63,4.761904762,24.7815,10.0
199-75-8169,0,2,1,1,5,15.81,10,7.905,166.005,3/6/2019,12:27,1,158.1,4.761904762,7.905,8.6
853-23-2453,1,0,1,1,3,75.74,4,15.148,318.108,2/14/2019,14:35,0,302.96,4.761904762,15.148,7.6
877-22-3308,0,2,1,1,3,15.87,10,7.935,166.635,3/13/2019,16:40,0,158.7,4.761904762,7.935,5.8
838-78-4295,2,1,0,0,3,33.47,2,3.347,70.28699999999999,2/10/2019,15:43,2,66.94,4.761904762,3.347,6.7
109-28-2512,1,0,1,0,1,97.61,6,29.283,614.943,1/7/2019,15:01,2,585.66,4.761904762,29.283,9.9
232-11-3025,0,2,0,1,5,78.77,10,39.385,827.085,1/24/2019,10:04,0,787.7,4.761904762,39.385,6.4
382-03-4532,0,2,1,0,3,18.33,1,0.9165,19.2465,2/2/2019,18:50,0,18.33,4.761904762,0.9165,4.3
393-65-2792,2,1,0,1,2,89.48,10,44.74,939.54,1/6/2019,12:46,1,894.8,4.761904762,44.74,9.6
796-12-2025,2,1,0,1,1,62.12,10,31.06,652.26,2/11/2019,16:19,0,621.2,4.761904762,31.06,5.9
510-95-6347,1,0,1,0,2,48.52,3,7.278,152.838,3/5/2019,18:17,2,145.56,4.761904762,7.278,4.0
841-35-6630,2,1,0,0,0,75.91,6,22.773000000000003,478.233,3/9/2019,18:21,0,455.46,4.761904762,22.773000000000003,8.7
287-21-9091,0,2,0,1,4,74.67,9,33.6015,705.6315,1/22/2019,10:55,2,672.03,4.761904762,33.6015,9.4
732-94-0499,2,1,0,0,0,41.65,10,20.825,437.325,1/13/2019,17:04,1,416.5,4.761904762,20.825,5.4
263-10-3913,2,1,1,1,1,49.04,9,22.068,463.42800000000005,1/9/2019,14:20,1,441.36,4.761904762,22.068,8.6
381-20-0914,0,2,1,0,1,20.01,9,9.0045,189.0945,1/12/2019,15:48,1,180.09,4.761904762,9.0045,5.7
829-49-1914,2,1,1,0,2,78.31,10,39.155,822.255,3/5/2019,16:24,2,783.1,4.761904762,39.155,6.6
756-01-7507,2,1,0,0,3,20.38,5,5.095,106.995,1/22/2019,18:56,0,101.9,4.761904762,5.095,6.0
870-72-4431,2,1,0,0,3,99.19,6,29.757,624.8969999999998,1/21/2019,14:42,1,595.14,4.761904762,29.757,5.5
847-38-7188,1,0,0,0,2,96.68,3,14.502,304.5420000000001,1/26/2019,19:56,2,290.04,4.761904762,14.502,6.4
480-63-2856,2,1,0,1,2,19.25,8,7.7,161.7,1/23/2019,18:37,2,154.0,4.761904762,7.7,6.6
787-56-0757,2,1,1,0,2,80.36,4,16.072,337.51199999999994,2/23/2019,18:45,1,321.44,4.761904762,16.072,8.3
360-39-5055,2,1,1,1,5,48.91,5,12.2275,256.7775,3/9/2019,10:17,0,244.55,4.761904762,12.2275,6.6
730-50-9884,2,1,0,0,5,83.06,7,29.071,610.491,3/5/2019,14:31,2,581.42,4.761904762,29.071,4.0
362-58-8315,2,1,0,1,1,76.52,5,19.13,401.73,3/25/2019,10:23,0,382.6,4.761904762,19.13,9.9
633-44-8566,0,2,1,1,2,49.38,7,17.283,362.943,3/27/2019,20:35,1,345.66,4.761904762,17.283,7.3
504-35-8843,0,2,0,1,5,42.47,1,2.1235,44.5935,1/2/2019,16:57,0,42.47,4.761904762,2.1235,5.7
318-68-5053,1,0,0,0,3,76.99,6,23.097,485.037,2/27/2019,17:55,0,461.94,4.761904762,23.097,6.1
565-80-5980,2,1,1,0,4,47.38,4,9.476,198.996,1/23/2019,10:25,0,189.52,4.761904762,9.476,7.1
225-32-0908,2,1,0,0,5,44.86,10,22.43,471.03,1/26/2019,19:54,2,448.6,4.761904762,22.43,8.2
873-51-0671,0,2,1,0,5,21.98,7,7.693,161.553,1/10/2019,16:42,2,153.86,4.761904762,7.693,5.1
152-08-9985,1,0,1,1,3,64.36,9,28.962,608.202,3/12/2019,12:09,1,579.24,4.761904762,28.962,8.6
512-91-0811,2,1,0,1,3,89.75,1,4.4875,94.2375,2/6/2019,20:05,1,89.75,4.761904762,4.4875,6.6
594-34-4444,0,2,0,1,0,97.16,1,4.8580000000000005,102.018,3/8/2019,20:38,2,97.16,4.761904762,4.8580000000000005,7.2
766-85-7061,1,0,0,1,3,87.87,10,43.935,922.635,3/29/2019,10:25,2,878.7,4.761904762,43.935,5.1
871-39-9221,2,1,0,0,0,12.45,6,3.735,78.435,2/9/2019,13:11,0,74.7,4.761904762,3.735,4.1
865-92-6136,0,2,0,1,2,52.75,3,7.9125,166.1625,3/23/2019,10:16,2,158.25,4.761904762,7.9125,9.3
733-01-9107,1,0,0,1,4,82.7,6,24.81,521.01,3/5/2019,18:14,0,496.2,4.761904762,24.81,7.4
163-56-7055,2,1,1,1,1,48.71,1,2.4355,51.1455,3/26/2019,19:20,0,48.71,4.761904762,2.4355,4.1
189-98-2939,2,1,0,1,1,78.55,9,35.3475,742.2975,3/1/2019,13:22,0,706.95,4.761904762,35.3475,7.2
551-21-3069,2,1,0,0,0,23.07,9,10.3815,218.0115,2/1/2019,11:27,0,207.63,4.761904762,10.3815,4.9
212-62-1842,0,2,0,1,2,58.26,6,17.477999999999998,367.038,3/28/2019,16:44,0,349.56,4.761904762,17.477999999999998,9.9
716-39-1409,1,0,0,1,3,30.35,7,10.6225,223.0725,3/19/2019,18:19,0,212.45,4.761904762,10.6225,8.0
704-48-3927,0,2,1,1,0,88.67,10,44.335,931.035,1/12/2019,14:50,2,886.7,4.761904762,44.335,7.3
628-34-3388,2,1,0,1,1,27.38,6,8.214,172.49400000000003,1/5/2019,20:54,1,164.28,4.761904762,8.214,7.9
630-74-5166,0,2,0,1,5,62.13,6,18.639,391.419,3/22/2019,20:19,0,372.78,4.761904762,18.639,7.4
588-01-7461,2,1,0,0,2,33.98,9,15.291,321.111,3/24/2019,10:43,0,305.82,4.761904762,15.291,4.2
861-77-0145,2,1,1,1,0,81.97,10,40.985,860.685,3/3/2019,14:30,0,819.7,4.761904762,40.985,9.2
479-26-8945,1,0,1,0,5,16.49,2,1.649,34.629,2/5/2019,11:32,2,32.98,4.761904762,1.649,4.6
210-67-5886,2,1,1,0,3,98.21,3,14.7315,309.3615,2/5/2019,10:41,1,294.63,4.761904762,14.7315,7.8
227-78-1148,1,0,0,0,1,72.84,7,25.494,535.374,2/15/2019,12:44,0,509.88,4.761904762,25.494,8.4
645-44-1170,0,2,1,1,4,58.07,9,26.1315,548.7615,1/19/2019,20:07,2,522.63,4.761904762,26.1315,4.3
237-01-6122,2,1,1,0,4,80.79,9,36.3555,763.4655,2/1/2019,20:31,1,727.11,4.761904762,36.3555,9.5
225-98-1496,2,1,0,0,1,27.02,3,4.053,85.113,3/2/2019,13:01,1,81.06,4.761904762,4.053,7.1
291-32-1427,1,0,1,1,1,21.94,5,5.485,115.185,3/5/2019,12:29,2,109.7,4.761904762,5.485,5.3
659-65-8956,1,0,1,1,1,51.36,1,2.568,53.928,1/16/2019,15:26,2,51.36,4.761904762,2.568,5.2
642-32-2990,0,2,0,0,2,10.96,10,5.48,115.08,2/2/2019,20:48,2,109.6,4.761904762,5.48,6.0
378-24-2715,1,0,0,1,4,53.44,2,5.3439999999999985,112.224,1/20/2019,20:38,2,106.88,4.761904762,5.3439999999999985,4.1
638-60-7125,0,2,0,0,0,99.56,8,39.824,836.304,2/14/2019,17:03,1,796.48,4.761904762,39.824,5.2
659-36-1684,2,1,1,1,5,57.12,7,19.992,419.832,1/12/2019,12:02,1,399.84,4.761904762,19.992,6.5
219-22-9386,1,0,1,1,5,99.96,9,44.982,944.622,3/9/2019,17:26,1,899.64,4.761904762,44.982,4.2
336-78-2147,2,1,1,1,4,63.91,8,25.564,536.844,3/13/2019,19:52,1,511.28,4.761904762,25.564,4.6
268-27-6179,1,0,1,0,1,56.47,8,22.588,474.348,3/9/2019,14:57,2,451.76,4.761904762,22.588,7.3
668-90-8900,0,2,0,0,4,93.69,7,32.7915,688.6215,3/10/2019,18:44,1,655.83,4.761904762,32.7915,4.5
870-54-3162,0,2,0,0,5,32.25,5,8.0625,169.3125,1/27/2019,13:26,0,161.25,4.761904762,8.0625,9.0
189-08-9157,2,1,0,0,1,31.73,9,14.2785,299.8485,1/8/2019,16:17,1,285.57,4.761904762,14.2785,5.9
663-86-9076,2,1,1,0,2,68.54,8,27.416,575.736,1/8/2019,15:57,2,548.32,4.761904762,27.416,8.5
549-84-7482,1,0,0,0,5,90.28,9,40.626,853.1460000000002,2/8/2019,11:15,2,812.52,4.761904762,40.626,7.2
191-10-6171,1,0,0,0,1,39.62,7,13.867,291.207,1/25/2019,13:18,0,277.34,4.761904762,13.867,7.5
802-70-5316,0,2,1,0,5,92.13,6,27.639,580.419,3/6/2019,20:34,0,552.78,4.761904762,27.639,8.3
695-51-0018,1,0,0,0,5,34.84,4,6.968,146.328,2/10/2019,18:36,0,139.36,4.761904762,6.968,7.4
590-83-4591,1,0,1,1,0,87.45,6,26.235,550.935,2/17/2019,14:40,1,524.7,4.761904762,26.235,8.8
483-71-1164,2,1,0,0,3,81.3,6,24.39,512.19,3/8/2019,16:43,2,487.8,4.761904762,24.39,5.3
597-78-7908,2,1,0,1,1,90.22,3,13.533,284.193,2/18/2019,19:39,0,270.66,4.761904762,13.533,6.2
700-81-1757,0,2,0,0,0,26.31,5,6.5775,138.1275,1/18/2019,20:59,1,131.55,4.761904762,6.5775,8.8
354-39-5160,0,2,1,0,4,34.42,6,10.326,216.846,2/18/2019,15:39,0,206.52,4.761904762,10.326,9.8
241-72-9525,1,0,0,1,5,51.91,10,25.955,545.055,2/16/2019,12:21,0,519.1,4.761904762,25.955,8.2
575-30-8091,0,2,0,1,5,72.5,8,29.0,609.0,3/16/2019,19:25,2,580.0,4.761904762,29.0,9.2
731-81-9469,2,1,1,0,5,89.8,10,44.9,942.9,1/23/2019,13:00,1,898.0,4.761904762,44.9,5.4
280-17-4359,2,1,1,1,3,90.5,10,45.25,950.25,1/25/2019,13:48,0,905.0,4.761904762,45.25,8.1
338-65-2210,2,1,1,0,3,68.6,10,34.3,720.3,2/5/2019,19:57,0,686.0,4.761904762,34.3,9.1
488-25-4221,2,1,1,0,2,30.41,1,1.5205,31.9305,2/22/2019,10:36,1,30.41,4.761904762,1.5205,8.4
239-10-7476,0,2,0,0,4,77.95,6,23.385,491.085,1/21/2019,16:37,2,467.7,4.761904762,23.385,8.0
458-41-1477,2,1,0,0,3,46.26,6,13.878,291.438,3/8/2019,17:11,1,277.56,4.761904762,13.878,9.5
685-64-1609,0,2,1,0,1,30.14,10,15.07,316.47,2/10/2019,12:28,2,301.4,4.761904762,15.07,9.2
568-90-5112,2,1,0,1,3,66.14,4,13.228,277.788,3/19/2019,12:46,1,264.56,4.761904762,13.228,5.6
262-47-2794,1,0,1,1,4,71.86,8,28.744,603.624,3/6/2019,15:07,1,574.88,4.761904762,28.744,6.2
238-49-0436,0,2,0,1,3,32.46,8,12.984000000000002,272.664,3/27/2019,13:48,1,259.68,4.761904762,12.984000000000002,4.9
608-96-3517,1,0,1,0,1,91.54,4,18.308,384.468,3/23/2019,19:20,1,366.16,4.761904762,18.308,4.8
584-86-7256,2,1,1,1,5,34.56,7,12.095999999999998,254.016,3/11/2019,16:07,1,241.92,4.761904762,12.095999999999998,7.3
746-94-0204,0,2,0,1,1,83.24,9,37.458,786.618,1/29/2019,11:56,1,749.16,4.761904762,37.458,7.4
214-17-6927,2,1,0,0,2,16.48,6,4.944,103.824,2/7/2019,18:23,2,98.88,4.761904762,4.944,9.9
400-89-4171,2,1,0,0,5,80.97,8,32.388000000000005,680.148,1/28/2019,13:05,0,647.76,4.761904762,32.388000000000005,9.3
782-95-9291,0,2,1,1,2,92.29,5,23.0725,484.5225,2/20/2019,15:55,1,461.45,4.761904762,23.0725,9.0
279-74-2924,1,0,1,1,0,72.17,1,3.6085,75.7785,1/4/2019,19:40,0,72.17,4.761904762,3.6085,6.1
307-85-2293,1,0,0,1,4,50.28,5,12.57,263.97,3/7/2019,13:58,2,251.4,4.761904762,12.57,9.7
743-04-1105,1,0,1,1,3,97.22,9,43.749,918.729,3/30/2019,14:43,2,874.98,4.761904762,43.749,6.0
423-57-2993,1,0,0,1,5,93.39,6,28.017,588.357,3/27/2019,19:18,2,560.34,4.761904762,28.017,10.0
894-41-5205,2,1,0,0,2,43.18,8,17.272000000000002,362.712,1/19/2019,19:39,1,345.44,4.761904762,17.272000000000002,8.3
275-28-0149,0,2,0,1,5,63.69,1,3.1845,66.8745,2/25/2019,16:21,0,63.69,4.761904762,3.1845,6.0
101-17-6199,0,2,0,1,2,45.79,7,16.0265,336.5565,3/13/2019,19:44,1,320.53,4.761904762,16.0265,7.0
423-80-0988,2,1,0,1,5,76.4,2,7.64,160.44,1/30/2019,19:42,2,152.8,4.761904762,7.64,6.5
548-46-9322,1,0,0,1,2,39.9,10,19.95,418.95,2/20/2019,15:24,1,399.0,4.761904762,19.95,5.9
505-02-0892,1,0,1,1,3,42.57,8,17.028,357.588,2/25/2019,14:12,2,340.56,4.761904762,17.028,5.6
234-65-2137,2,1,0,1,4,95.58,10,47.79,1003.59,1/16/2019,13:32,0,955.8,4.761904762,47.79,4.8
687-47-8271,0,2,0,1,1,98.98,10,49.49,1039.29,2/8/2019,16:20,1,989.8,4.761904762,49.49,8.7
796-32-9050,0,2,0,1,2,51.28,6,15.384,323.064,1/19/2019,16:31,0,307.68,4.761904762,15.384,6.5
105-31-1824,0,2,1,1,5,69.52,7,24.332,510.972,2/1/2019,15:10,1,486.64,4.761904762,24.332,8.5
249-42-3782,0,2,0,1,3,70.01,5,17.5025,367.5525,1/3/2019,11:36,2,350.05,4.761904762,17.5025,5.5
316-55-4634,1,0,1,1,2,80.05,5,20.0125,420.2625,1/26/2019,12:45,1,400.25,4.761904762,20.0125,9.4
733-33-4967,2,1,0,1,0,20.85,8,8.34,175.14,3/3/2019,19:17,0,166.8,4.761904762,8.34,6.3
608-27-6295,1,0,1,1,0,52.89,6,15.867,333.207,1/19/2019,17:34,1,317.34,4.761904762,15.867,9.8
414-12-7047,1,0,0,1,2,19.79,8,7.916,166.236,1/18/2019,12:04,2,158.32,4.761904762,7.916,8.7
827-26-2100,0,2,1,1,4,33.84,9,15.228,319.788,3/21/2019,16:21,2,304.56,4.761904762,15.228,8.8
175-54-2529,0,2,1,1,2,22.17,8,8.868,186.228,3/3/2019,17:01,1,177.36,4.761904762,8.868,9.6
139-52-2867,2,1,0,0,1,22.51,7,7.8785,165.4485,2/13/2019,10:50,1,157.57,4.761904762,7.8785,4.8
407-63-8975,0,2,0,1,2,73.88,6,22.164,465.444,3/23/2019,19:16,2,443.28,4.761904762,22.164,4.4
342-65-4817,2,1,1,1,3,86.8,3,13.02,273.42,1/28/2019,16:47,2,260.4,4.761904762,13.02,9.9
130-98-8941,2,1,0,1,1,64.26,7,22.491,472.311,2/9/2019,10:00,0,449.82,4.761904762,22.491,5.7
434-83-9547,2,1,1,1,2,38.47,8,15.388,323.148,1/23/2019,11:51,0,307.76,4.761904762,15.388,7.7
851-28-6367,0,2,1,1,5,15.5,10,7.75,162.75,3/23/2019,10:55,2,155.0,4.761904762,7.75,8.0
824-88-3614,2,1,0,1,3,34.31,8,13.724,288.204,1/25/2019,15:00,2,274.48,4.761904762,13.724,5.7
